Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,0.88,B081Q9CFGC,2025-02-28,,5.86,,5.86,66.00566572237963,5,fba,30483,8,432,2.0,4.660000000000001,21,2,5.86,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-01,,5.86,5.16,5.16,46.175637393767715,4,fbm,25236,8,432,2.0,3.2600000000000007,19,1,5.86,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-02,,5.86,5.16,5.16,46.175637393767715,4,fbm,30266,8,432,2.0,3.2600000000000007,18,7,0.8371428571428572,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-03,,5.86,5.54,5.54,56.94050991501417,4,fbm,32633,8,432,2.0,4.0200000000000005,5,6,0.9766666666666667,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-04,,5.86,5.54,5.54,56.94050991501417,4,fbm,44392,8,432,2.0,4.0200000000000005,5,4,4.883333333333334,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-05,,5.86,5.54,5.54,56.94050991501417,4,fbm,27253,5,432,2.0,4.0200000000000005,1,1,5.86,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-10,,4.07,5.54,4.07,15.297450424929194,2,fba,30518,7,432,2.0,1.080000000000001,1,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-11,,4.07,5.86,4.07,15.297450424929194,2,fba,37127,9,432,2.0,1.080000000000001,1,1,4.04,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-28,,4.81,5.54,4.81,36.26062322946175,4,fba,42059,9,432,2.0,2.5599999999999996,14,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-29,,4.81,5.54,4.81,36.26062322946175,4,fba,46427,9,432,2.0,2.5599999999999996,30,1,3.93,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-03-31,,4.89,5.54,4.89,38.52691218130311,4,fba,24669,9,432,2.0,2.7199999999999998,30,2,3.93,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-01,,3.92,5.54,3.92,11.048158640226632,2,fba,29464,9,432,2.0,0.7800000000000002,27,2,1.97,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-02,,3.92,4.88,3.92,11.048158640226632,2,fba,30579,9,432,2.0,0.7800000000000002,27,1,3.94,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-03,,3.92,5.54,3.92,11.048158640226632,2,fba,18642,9,432,2.0,0.7800000000000002,27,5,3.91,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-04,,3.91,5.54,3.91,10.764872521246469,2,fba,16549,9,432,2.0,0.7600000000000007,22,1,3.91,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-05,,3.91,5.54,3.91,10.764872521246469,2,fba,24854,9,432,2.0,0.7600000000000007,21,8,0.48875,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-06,,3.91,5.54,3.91,10.764872521246469,2,fba,11614,9,432,2.0,0.7600000000000007,13,7,3.3649999999999998,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-07,,5.65,5.54,5.54,56.94050991501417,4,fbm,18805,9,432,2.0,4.0200000000000005,6,1,5.64,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-08,,5.01,5.54,5.01,41.92634560906516,4,fba,23039,,,2.0,2.96,5,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
Grocery,20,0.88,B081Q9CFGC,2025-04-08,,4.94,5.02,4.94,39.943342776203984,4,fba,23039,,,2.0,2.820000000000001,5,0,0.0,OceanSaver Anti-Bac Cleaning EcoDrop | Anti-Bacterial Multipurpose Cleaning Spray | Ocean Mist | Eco Friendly Cleaning (1 Pack),50+ bought in past month,4.6,432,0,10,432,N/A,100.0
