Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Beauty,20,2.01,B003SYNGE2,2025-03-21,,7.99,6.99,6.99,15.346534653465357,2,fbm,43190,5,1071,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-22,,7.99,6.99,6.99,15.346534653465357,2,fbm,43190,5,1071,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-23,,7.99,6.99,6.99,15.346534653465357,2,fbm,43190,5,1071,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-24,,7.99,6.99,6.99,15.346534653465357,2,fbm,45497,6,1072,0.06666666666666667,0.06200000000000004,80,1,7.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-25,,7.99,6.99,6.99,15.346534653465357,2,fbm,45497,6,1072,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-26,,7.0,6.99,6.99,15.346534653465357,2,fbm,46003,6,1072,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-27,,7.0,6.99,6.99,15.346534653465357,2,fbm,39676,6,1072,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-28,,7.0,6.99,6.99,15.346534653465357,2,fbm,40962,6,1072,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-29,,7.0,6.99,6.99,15.346534653465357,2,fbm,40962,6,1072,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-31,,7.0,6.99,6.99,15.346534653465357,2,fbm,27989,6,1071,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-01,,7.14,6.99,6.99,15.346534653465357,2,fbm,32108,6,1071,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-02,,7.14,6.99,6.99,15.346534653465357,2,fbm,32108,6,1071,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-03,,7.14,6.99,6.99,15.346534653465357,2,fbm,32108,6,1071,0.06666666666666667,0.06200000000000004,79,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-04,,7.14,6.99,6.99,15.346534653465357,2,fbm,32108,6,1071,0.06666666666666667,0.06200000000000004,79,3,2.4466666666666668,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-05,,7.14,6.99,6.99,15.346534653465357,2,fbm,32108,5,1071,0.06666666666666667,0.06200000000000004,76,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-06,,7.14,6.99,6.99,15.346534653465357,2,fbm,29269,5,1071,0.06666666666666667,0.06200000000000004,76,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-07,,7.14,6.99,6.99,15.346534653465357,2,fbm,29269,5,1071,0.06666666666666667,0.06200000000000004,76,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-04-08,,7.99,6.99,6.99,15.346534653465357,2,fbm,65261,,,0.06666666666666667,0.06200000000000004,76,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
