Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,3.36,B0813VNJF8,2024-12-01,5.25,7.39,7.08,5.25,-35.424354243542446,-5,amazon,3291,5.0,524.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-02,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2498,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-03,5.25,4.49,6.76,4.49,-44.772447724477246,-5,fba,2222,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-03,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2222,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-04,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2283,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-05,5.25,4.49,6.76,4.49,-44.772447724477246,-5,fba,2368,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-05,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2368,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-06,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2823,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-07,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2491,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-08,5.25,4.49,6.76,4.49,-44.772447724477246,-5,fba,2187,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-08,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2187,5.0,525.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-09,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,1678,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-10,5.25,4.49,6.76,4.49,-44.772447724477246,-5,fba,2139,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-10,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2139,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-10,5.25,4.49,6.76,4.49,-44.772447724477246,-5,fba,2139,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-11,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2206,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-11,5.25,4.49,6.76,4.49,-44.772447724477246,-5,fba,2206,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-11,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2206,5.0,526.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-12,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2601,5.0,527.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-13,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2776,5.0,527.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-14,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2536,5.0,527.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-15,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2094,5.0,527.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-16,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2127,5.0,527.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-17,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2387,2.0,528.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-18,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2377,2.0,528.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-19,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,2292,2.0,529.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-20,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,1830,2.0,529.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-21,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,1841,2.0,530.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-22,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,1917,2.0,531.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-23,5.25,7.39,6.76,5.25,-35.424354243542446,-5,amazon,1824,2.0,531.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-24,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,2131,2.0,531.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-25,5.25,4.49,7.02,4.49,-44.772447724477246,-5,fba,2473,2.0,531.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-25,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,2473,2.0,531.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-26,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,2488,2.0,532.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-27,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,3392,2.0,532.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-28,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,3065,2.0,532.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-29,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,4048,2.0,532.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-30,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,4689,2.0,533.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-12-31,5.25,7.39,7.02,5.25,-35.424354243542446,-5,amazon,4745,2.0,533.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
